id,symbol,interval,ema_fast,ema_slow,atr_period,sl_atr_mult,tp_atr_mult,risk_pct,fees_bps,trades,wins,win_rate,equity_start,equity_end,pnl_total,return_pct,max_drawdown_pct,score
35,SOLUSDC,15m,20,55,14,1.5,2.5,0.005,10.0,64,26,40.625,10000.0,10151.434926511867,151.43492651186716,1.514349265118664,3.1909824067798134,-0.08114193827124261
36,SOLUSDC,15m,20,55,14,1.5,2.5,0.0075,10.0,64,26,40.625,10000.0,10218.445225094567,218.44522509456692,2.1844522509456787,4.765226251800407,-0.19816087495452495
37,SOLUSDC,15m,20,55,14,1.5,3.0,0.0025,10.0,57,22,38.59649122807017,10000.0,10178.408446641919,178.408446641919,1.7840844664192002,1.5872344827878322,0.9904672250252841
38,SOLUSDC,15m,20,55,14,1.5,3.0,0.005,10.0,57,22,38.59649122807017,10000.0,10352.840551803367,352.8405518033669,3.5284055180336615,3.160112795349527,1.948349120358898
39,SOLUSDC,15m,20,55,14,1.5,3.0,0.0075,10.0,57,22,38.59649122807017,10000.0,10523.02115582474,523.0211558247393,5.2302115582473885,4.718502719074175,2.870960198710301
40,SOLUSDC,15m,20,55,14,1.5,3.5,0.0025,10.0,55,19,34.54545454545455,10000.0,10197.197521067046,197.19752106704618,1.9719752106704513,1.7026570968481678,1.1206466622463673
41,SOLUSDC,15m,20,55,14,1.5,3.5,0.005,10.0,55,19,34.54545454545455,10000.0,10390.23895546003,390.2389554600304,3.902389554600294,3.3803539674981655,2.2122125708512113
42,SOLUSDC,15m,20,55,14,1.5,3.5,0.0075,10.0,55,19,34.54545454545455,10000.0,10578.799230953266,578.7992309532656,5.7879923095326635,5.033398285462356,3.2712931668014855
43,SOLUSDC,15m,20,55,14,1.5,4.0,0.0025,10.0,48,16,33.33333333333333,10000.0,10231.86879778377,231.8687977837708,2.318687977837719,1.5194494442487172,1.5589632557133604
44,SOLUSDC,15m,20,55,14,1.5,4.0,0.005,10.0,48,16,33.33333333333333,10000.0,10460.683901850243,460.6839018502433,4.606839018502429,3.019365266117715,3.0971563854435713
45,SOLUSDC,15m,20,55,14,1.5,4.0,0.0075,10.0,48,16,33.33333333333333,10000.0,10686.077789641895,686.0777896418949,6.860777896418946,4.499953489921808,4.610801151458042
46,SOLUSDC,15m,20,55,14,1.75,2.0,0.0025,10.0,68,32,47.05882352941176,10000.0,10037.133156930107,37.13315693010736,0.3713315693010699,1.3937844591810233,-0.32556066028944175
47,SOLUSDC,15m,20,55,14,1.75,2.0,0.005,10.0,68,32,47.05882352941176,10000.0,10070.15094504233,70.15094504232911,0.7015094504232877,2.7755202337616836,-0.6862506664575541
48,SOLUSDC,15m,20,55,14,1.75,2.0,0.0075,10.0,68,32,47.05882352941176,10000.0,10099.013235541672,99.01323554167175,0.9901323554167174,4.145182347188561,-1.082458818177563
49,SOLUSDC,15m,20,55,14,1.75,2.5,0.0025,10.0,61,25,40.98360655737705,10000.0,10017.812990326434,17.812990326434374,0.17812990326433464,1.4601562537564676,-0.5519482236138992
50,SOLUSDC,15m,20,55,14,1.75,2.5,0.005,10.0,61,25,40.98360655737705,10000.0,10030.887504373233,30.88750437323324,0.3088750437323373,2.9122599609533246,-1.147254936744325
51,SOLUSDC,15m,20,55,14,1.75,2.5,0.0075,10.0,61,25,40.98360655737705,10000.0,10039.21320871519,39.21320871518947,0.3921320871518974,4.356039131543184,-1.7858874786196948
