entry_mode,vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,atr_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
either,0.9,50,100,1.8,1.6,2.0,3.0,1,16,7,9,43.75,0.916619
either,0.9,50,100,1.8,1.6,2.0,3.0,2,14,6,8,42.857,0.927212
either,0.9,50,200,1.6,1.4,1.5,2.0,1,14,2,12,14.286,0.870637
either,0.9,50,200,1.6,1.4,1.5,2.0,2,14,2,12,14.286,0.861974
either,0.9,50,200,1.6,1.4,1.5,3.0,1,14,2,12,14.286,0.870637
either,0.9,50,200,1.6,1.4,1.5,3.0,2,14,2,12,14.286,0.861974
either,0.9,50,200,1.6,1.4,2.0,2.0,1,13,3,10,23.077,0.881315
either,0.9,50,200,1.6,1.4,2.0,2.0,2,12,2,10,16.667,0.862126
either,0.9,50,200,1.6,1.4,2.0,3.0,1,13,3,10,23.077,0.881315
either,0.9,50,200,1.6,1.4,2.0,3.0,2,12,2,10,16.667,0.862126
either,0.9,50,200,1.6,1.6,1.5,2.0,1,14,2,12,14.286,0.870637
either,0.9,50,200,1.6,1.6,1.5,2.0,2,13,2,11,15.385,0.879019
either,0.9,50,200,1.6,1.6,1.5,3.0,1,14,2,12,14.286,0.870637
either,0.9,50,200,1.6,1.6,1.5,3.0,2,13,2,11,15.385,0.879019
either,0.9,50,200,1.6,1.6,2.0,2.0,1,13,3,10,23.077,0.881315
either,0.9,50,200,1.6,1.6,2.0,2.0,2,11,2,9,18.182,0.877344
either,0.9,50,200,1.6,1.6,2.0,3.0,1,13,3,10,23.077,0.881315
either,0.9,50,200,1.6,1.6,2.0,3.0,2,11,2,9,18.182,0.877344
either,0.9,50,200,1.8,1.4,1.5,2.0,1,13,2,11,15.385,0.88584
either,0.9,50,200,1.8,1.4,1.5,2.0,2,12,2,10,16.667,0.894368
either,0.9,50,200,1.8,1.4,1.5,3.0,1,12,2,10,16.667,0.884714
either,0.9,50,200,1.8,1.4,1.5,3.0,2,11,2,9,18.182,0.893231
either,0.9,50,200,1.8,1.4,2.0,2.0,1,12,3,9,25.0,0.896704
either,0.9,50,200,1.8,1.4,2.0,2.0,2,10,2,8,20.0,0.892664
either,0.9,50,200,1.8,1.4,2.0,3.0,1,11,3,8,27.273,0.897688
either,0.9,50,200,1.8,1.4,2.0,3.0,2,10,2,8,20.0,0.892664
either,0.9,50,200,1.8,1.6,1.5,2.0,1,13,2,11,15.385,0.88584
either,0.9,50,200,1.8,1.6,1.5,2.0,2,12,2,10,16.667,0.894368
either,0.9,50,200,1.8,1.6,1.5,3.0,1,12,2,10,16.667,0.884714
either,0.9,50,200,1.8,1.6,1.5,3.0,2,11,2,9,18.182,0.893231
either,0.9,50,200,1.8,1.6,2.0,2.0,1,12,3,9,25.0,0.896704
either,0.9,50,200,1.8,1.6,2.0,2.0,2,10,2,8,20.0,0.892664
either,0.9,50,200,1.8,1.6,2.0,3.0,1,11,3,8,27.273,0.897688
either,0.9,50,200,1.8,1.6,2.0,3.0,2,10,2,8,20.0,0.892664
either,0.95,20,100,1.6,1.4,1.5,2.0,1,16,7,9,43.75,0.936201
either,0.95,20,100,1.6,1.4,1.5,2.0,2,16,7,9,43.75,0.923817
either,0.95,20,100,1.6,1.4,1.5,3.0,1,16,7,9,43.75,0.949327
either,0.95,20,100,1.6,1.4,1.5,3.0,2,16,7,9,43.75,0.927103
either,0.95,20,100,1.6,1.4,2.0,2.0,1,15,8,7,53.333,0.955759
either,0.95,20,100,1.6,1.4,2.0,2.0,2,15,7,8,46.667,0.91617
either,0.95,20,100,1.6,1.4,2.0,3.0,1,15,8,7,53.333,0.969159
either,0.95,20,100,1.6,1.4,2.0,3.0,2,15,7,8,46.667,0.919429
either,0.95,20,100,1.6,1.6,1.5,2.0,1,16,7,9,43.75,0.936201
either,0.95,20,100,1.6,1.6,1.5,2.0,2,15,7,8,46.667,0.947331
either,0.95,20,100,1.6,1.6,1.5,3.0,1,16,7,9,43.75,0.949327
either,0.95,20,100,1.6,1.6,1.5,3.0,2,15,7,8,46.667,0.9507
either,0.95,20,100,1.6,1.6,2.0,2.0,1,15,8,7,53.333,0.955759
either,0.95,20,100,1.6,1.6,2.0,2.0,2,14,7,7,50.0,0.937533
either,0.95,20,100,1.6,1.6,2.0,3.0,1,15,8,7,53.333,0.969159
either,0.95,20,100,1.6,1.6,2.0,3.0,2,14,7,7,50.0,0.940868
either,0.95,20,100,1.8,1.4,1.5,2.0,1,16,7,9,43.75,0.943991
either,0.95,20,100,1.8,1.4,1.5,2.0,2,15,7,8,46.667,0.95723
either,0.95,20,100,1.8,1.4,1.5,3.0,1,16,7,9,43.75,0.946164
either,0.95,20,100,1.8,1.4,1.5,3.0,2,15,7,8,46.667,0.959434
either,0.95,20,100,1.8,1.4,2.0,2.0,1,15,8,7,53.333,0.963712
either,0.95,20,100,1.8,1.4,2.0,2.0,2,14,7,7,50.0,0.947331
either,0.95,20,100,1.8,1.4,2.0,3.0,1,15,8,7,53.333,0.965361
either,0.95,20,100,1.8,1.4,2.0,3.0,2,14,7,7,50.0,0.96035
either,0.95,20,100,1.8,1.6,1.5,2.0,1,16,7,9,43.75,0.950757
either,0.95,20,100,1.8,1.6,1.5,2.0,2,15,7,8,46.667,0.964091
either,0.95,20,100,1.8,1.6,1.5,3.0,1,16,7,9,43.75,0.938047
either,0.95,20,100,1.8,1.6,1.5,3.0,2,15,7,8,46.667,0.951203
either,0.95,20,100,1.8,1.6,2.0,2.0,1,15,8,7,53.333,0.970619
