months,rows,vol_min,trend_max,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
1,2976,0.008,0.2,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
1,2976,0.01,0.15,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
1,2976,0.01,0.2,12,2.4,0.933023,12.38,38,44.74,-0.1737,1.0433893684688778
1,2976,0.008,0.15,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2976,0.008,0.2,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2976,0.01,0.15,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2976,0.01,0.2,16,3.0,0.923934,8.16,12,33.33,-0.6488,1.0433893684688778
1,2880,0.012,0.25,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
1,2880,0.012,0.3,12,2.4,0.920779,20.98,34,55.88,-0.2053,1.0888296078251003
1,2976,0.008,0.15,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2976,0.008,0.2,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2976,0.01,0.15,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2976,0.01,0.2,16,2.6,0.915686,14.0,29,44.83,-0.2937,1.0433893684688778
1,2880,0.012,0.25,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
1,2880,0.012,0.3,12,3.0,0.911559,10.44,2,50.0,-4.3289,1.0888296078251003
1,2976,0.008,0.15,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.008,0.2,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.01,0.15,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.01,0.2,16,2.2,0.910824,19.5,47,48.94,-0.1865,1.0433893684688778
1,2976,0.008,0.15,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.008,0.2,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.01,0.15,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.01,0.2,12,2.0,0.903485,18.43,76,55.26,-0.1249,1.0433893684688778
1,2976,0.008,0.15,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.008,0.2,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.01,0.15,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.01,0.2,12,2.2,0.880772,21.53,58,44.83,-0.2092,1.0433893684688778
1,2976,0.008,0.15,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2976,0.008,0.2,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2976,0.01,0.15,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2976,0.01,0.2,16,2.4,0.871664,20.47,40,45.0,-0.3299,1.0433893684688778
1,2880,0.012,0.25,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
1,2880,0.012,0.3,12,2.6,0.847797,19.14,16,43.75,-0.9761,1.0888296078251003
