BB_COOLDOWN_BARS,BB_K,BB_PERIOD,EMA_TREND_N,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
0,1.8,14,100,1,55,60,20,1.0,-0.6038,run_backtest,0.022557,341,97.88,598,42.98,257
2,2.2,12,200,1,55,65,20,0.75,-0.4693,run_backtest,0.022342,414,97.8,763,45.74,349
2,1.8,14,100,1,60,60,20,1.0,-0.6102,run_backtest,0.021894,341,97.94,597,42.88,256
0,1.8,14,100,1,60,60,20,1.0,-0.5865,run_backtest,0.021271,353,98.0,625,43.52,272
2,2.2,12,200,1,55,60,20,0.75,-0.4738,run_backtest,0.0212,405,97.91,768,47.27,363
2,2.0,12,200,1,60,65,20,1.0,-0.4815,run_backtest,0.021065,411,97.95,757,45.71,346
2,2.2,12,200,1,60,65,20,0.75,-0.4675,run_backtest,0.020968,422,97.91,779,45.83,357
0,2.0,14,200,1,60,60,20,1.0,-0.4587,run_backtest,0.020838,414,98.04,792,47.73,378
2,2.0,12,200,1,55,65,20,1.0,-0.4966,run_backtest,0.020699,404,97.99,738,45.26,334
0,2.0,14,200,1,55,60,20,1.0,-0.4726,run_backtest,0.020535,406,98.07,772,47.41,366
2,1.8,14,100,1,55,65,20,1.0,-0.6533,run_backtest,0.02045,337,98.08,568,40.67,231
2,2.2,12,200,1,60,60,20,0.75,-0.4734,run_backtest,0.019691,413,98.04,784,47.32,371
